Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Belarus,Europe,994048,10520,,,,7118,75,,,
China,Western Pacific,99381761,6755,0,,0,122398,8,0,,0
French Guiana,,98041,32825,,,,413,138,,,
Latvia,Europe,977765,51254,,,,7475,392,,,
Saint Vincent and the Grenadines,Americas,9674,8720,,,,124,112,,,
Guinea-Bissau,Africa,9614,489,,,,177,9,,,
Niger,Africa,9548,39,2,,2,315,1,,,
Comoros,Africa,9109,1047,,,,160,18,,,
Antigua and Barbuda,Americas,9106,9299,,,,146,149,,,
Senegal,Africa,89334,534,5,,5,1972,12,,,
Malawi,Africa,89168,466,,,,2686,14,,,
Kyrgyzstan,Europe,88953,1363,,,,1024,16,,,
C�te d'Ivoire,Africa,88464,335,3,,3,835,3,,,
Netherlands (Kingdom of the),Europe,8633615,49597,70,,70,22986,132,,,
Saudi Arabia,Eastern Mediterranean,841469,2417,,,,9646,28,,,
Azerbaijan,Europe,836507,8250,0,,0,10353,102,,,
American Samoa,Western Pacific,8359,15144,,,,34,62,,,
Suriname,Americas,82507,14065,0,,0,1406,240,0,,0
New Caledonia,Western Pacific,80203,28092,,,,314,110,,,
Tokelau,Western Pacific,80,5926,,,,0,,,,
Sierra Leone,Africa,7985,100,,,,125,2,,,
French Polynesia,Western Pacific,79451,28284,,,,650,231,,,
Liberia,Africa,7932,157,,,,294,6,,,
Chad,Africa,7702,47,,,,194,1,,,
British Virgin Islands,Americas,7644,25280,0,,0,64,212,0,,0
Iran (Islamic Republic of),Eastern Mediterranean,7627863,9082,,,,146837,175,,,
Mexico,Americas,7622513,5912,,,,334818,260,,,
Eswatini,Africa,75356,6495,,,,1427,123,,,
Guyana,Americas,74502,9472,0,,0,1302,166,0,,0
Cook Islands,Western Pacific,7375,41989,,,,2,11,,,
Paraguay,Americas,735759,10316,,,,19880,279,,,
Belize,Americas,71432,17965,0,,0,688,173,,,
Cyprus,Europe,712710,80260,82,9,82,1364,154,,,
International conveyance (Diamond Princess),Other,712,,,,,13,,,,
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,703228,13785,,,,5708,112,,,
Global,,7.77519155E8,4813732.0,11625.0,77.0,11625.0,7090776.0,29460.0,517.0,,517.0
Bahrain,Eastern Mediterranean,696614,40939,,,,1536,90,,,
Fiji,Western Pacific,69047,7702,,,,885,99,,,
Madagascar,Africa,68654,248,2,,2,1428,5,,,
Turks and Caicos Islands,Americas,6846,17682,0,,0,40,103,0,,0
Indonesia,South-East Asia,6830212,2497,,,,162059,59,,,
Poland,Europe,6775859,17851,743,2,743,120976,319,,,
Sao Tome and Principe,Africa,6771,3090,,,,80,37,,,
Sri Lanka,South-East Asia,672812,3142,,,,16907,79,,,
Kuwait,Eastern Mediterranean,667290,15625,,,,2570,60,,,
Jersey,,66391,61589,,,,161,149,,,
Dominican Republic,Americas,661103,6094,,,,4384,40,,,
Saint Kitts and Nevis,Americas,6607,12421,,,,46,86,,,
Republic of Moldova,Europe,650930,16136,8,,8,12283,304,0,,0
Cabo Verde,Africa,64474,11596,,,,417,75,,,
Myanmar,South-East Asia,643241,1182,,,,19494,36,,,
Sudan,Eastern Mediterranean,63993,146,,,,5046,12,,,
Colombia,Americas,6395256,12569,,,,142731,281,,,
Mauritania,Africa,63886,1374,0,,0,997,21,0,,0
Palau,Western Pacific,6372,35220,,,,10,55,,,
Bhutan,South-East Asia,62697,8125,,,,21,3,,,
Estonia,Europe,614333,46226,59,4,59,2998,226,,,
Austria,Europe,6083098,68341,2,,2,22534,253,,,
Greece,Europe,5763683,53773,469,4,469,40030,373,7,,7
Syrian Arab Republic,Eastern Mediterranean,57423,328,,,,3163,18,,,
Portugal,Europe,5671226,55082,51,,51,29119,283,1,,1
Ukraine,Europe,5542510,12673,182,,182,109925,251,0,,0
Venezuela (Bolivarian Republic of),Americas,552729,1944,9,,9,5856,21,,,
Saint Barth�lemy,,5507,55711,,,,5,51,,,
Burundi,Africa,54569,459,,,,15,,,,
Chile,Americas,5410063,28301,8,,8,62863,329,0,,0
Nauru,Western Pacific,5393,49778,,,,1,9,,,
Malaysia,Western Pacific,5329836,16467,,,,37351,115,,,
Guam,Western Pacific,52287,30980,,,,419,248,,,
Seychelles,Africa,51899,52771,,,,172,175,,,
Egypt,Eastern Mediterranean,516023,504,,,,24830,24,,,
Qatar,Eastern Mediterranean,514524,17859,,,,690,24,,,
Kiribati,Western Pacific,5085,4257,,,,24,20,,,
Libya,Eastern Mediterranean,507269,7382,,,,6437,94,,,
Ethiopia,Africa,501304,436,3,,3,7574,7,,,
International conveyance (Solomon Islands),Other,5,,,,,0,,,,
R�union,,494595,55243,,,,921,103,,,
Gabon,Africa,49069,2205,,,,307,14,,,
Belgium,Europe,4894481,42478,193,2,193,34339,298,,,
Israel,Europe,4841558,55936,,,,12707,147,,,
Czechia,Europe,4828155,45149,11,,11,43806,410,2,,2
Canada,Americas,4819055,12768,,,,55282,146,,,
Thailand,South-East Asia,4810338,6892,,,,34743,50,,,
Andorra,Europe,48015,62143,,,,159,206,,,
Honduras,Americas,472911,4775,,,,11114,112,,,
Papua New Guinea,Western Pacific,46864,524,,,,670,7,,,
Cura�ao,Americas,45883,27962,,,,305,186,,,
Armenia,Europe,454055,15323,,,,8784,296,,,
Peru,Americas,4528708,13735,,,,220994,670,,,
India,South-East Asia,45044607,3264,,,,533662,39,,,
Switzerland,Europe,4477449,51735,117,1,117,14170,164,,,
Aruba,Americas,44224,41421,,,,292,273,,,
United Republic of Tanzania,Africa,43372,73,0,,0,846,1,,,
Mayotte,,42027,15405,,,,187,69,,,
Philippines,Western Pacific,4140383,3778,,,,66864,61,,,
South Africa,Africa,4072925,6867,2,,2,102595,173,,,
Bosnia and Herzegovina,Europe,404142,12318,,,,16404,500,,,
International conveyance (American Samoa),Other,4,,,,,0,,,,
Pitcairn,,4,8000,,,,0,,,,
Oman,Eastern Mediterranean,399449,7822,,,,4628,91,,,
Luxembourg,Europe,397378,63468,42,7,42,1000,160,,,
Togo,Africa,39540,478,0,,0,290,4,,,
Bahamas,Americas,39127,9950,,,,849,216,,,
Anguilla,Americas,3904,26023,,,,12,80,,,
France,Europe,39015118,59987,270,,270,168153,259,,,
Guinea,Africa,38582,294,,,,468,4,,,
Germany,Europe,38437856,46218,0,,0,174979,210,,,
Isle of Man,,38008,44698,,,,116,136,,,
Brazil,Americas,37616487,17697,,,,702465,330,5,,5
Wallis and Futuna,Western Pacific,3760,33434,,,,9,80,,,
Lesotho,Africa,36138,1687,,,,709,33,,,
Romania,Europe,3568419,18462,81,,81,68960,357,0,,0
Guernsey,,35326,54796,,,,67,104,,,
North Macedonia,Europe,352093,16900,1,,1,9991,480,0,,0
Brunei Darussalam,Western Pacific,350550,80130,,,,182,42,,,
Zambia,Africa,349892,1903,,,,4078,22,,,
Haiti,Americas,34772,305,0,,0,860,8,0,,0
Faroe Islands,,34658,70926,,,,28,57,,,
Republic of Korea,Western Pacific,34571873,67432,,,,35934,70,,,
Denmark,Europe,3446656,59193,146,3,146,10012,172,,,
Kenya,Africa,344131,640,2,,2,5689,11,,,
Saint Pierre and Miquelon,,3426,59120,,,,2,35,,,
Japan,Western Pacific,33803572,26727,,,,74694,59,,,
Albania,Europe,337196,11717,0,,0,3608,125,,,
Mauritius,Africa,332007,26106,36,3,36,1074,84,0,,0
Mali,Africa,33183,164,0,,0,743,4,,,
Botswana,Africa,330699,14063,,,,2801,119,,,
Micronesia (Federated States of),Western Pacific,31765,27616,,,,62,54,,,
Cayman Islands,Americas,31472,47888,,,,37,56,,,
Saint Lucia,Americas,30231,16463,0,,0,410,223,0,,0
Singapore,Western Pacific,3006155,51384,,,,2024,35,,,
Tuvalu,Western Pacific,2943,24958,,,,1,8,,,
International commercial vessel,Other,29,,,,,0,,,,
Benin,Africa,28036,231,,,,163,1,,,
Sweden,Europe,2773994,26860,236,2,236,28655,277,13,,13
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Europe,274279,15274,,,,3212,179,,,
